description,occupation
"TopWork arbetar med bemanning och rekrytering. Vi vet vad arbetsgivaren vill ha och vad som krävs för att hitta rätt medarbetare. Våra kunder finns inom både privat och offentlig sektor. Vi är din trygga och personliga partner oavsett om du söker nya medarbetare eller nya utmaningar. TopWork – det lila extra!

...för körning av säkerhetsklassat gods i Göteborgsområdet.

Vi söker dig som är C-chaufför med giltigt YKB och körvana, som vill arbeta med distribution där man endast hämtar godset en gång per dag (det kan förekomma returer). Arbete fyra dagar i veckan och 10-timarspass. Start kl. 7:30 på dagen med utgångspunkt från norra delen av Göteborg. Vi ser att du är serviceinriktad, engagerad och möter utmaningar med en positiv attityd. En förutsättning är att du inte förekommer i belastningsregistret. För tjänsten krävs svenska i tal och skrift.


Tjänsten är en tillsvidareanställning som inleds med en anställning hos TopWork med ett mål om att kandidaten senare ska övergå till en anställning hos kund. Som konsult hos TopWork får du en konsultchef som stöttar dig i ditt uppdrag hos kund. Vi ger dig råd och rekommendationer om hur du kan utvecklas i ditt arbete.


Krav:

Körkort:
* C (Tung lastbil)",Distributionsförare
"Om tjänsten
Vill du vara med att göra något bra ännu bättre?

I samarbete med Abeco söker vi nu en produktionsinriktad och teknisk arbetsledare till deras produktion som är beläget i Hishult i södra Halland.

I denna roll som arbetsledare så kommer du att arbeta med att optimera och planera produktionen, samt fördela det dagliga arbetet.
Vidare så kommer du tillsammans med våra erfarna operatörer, att se efter underhållet av maskinparken och tillsammans med ledningen diskutera framtida investeringar.

Start är enligt överenskommelse.
Arbetstiden är dagtid.
Du kommer bli anställd direkt av Abeco.

Om företaget
Abeco-system BL ab är ett familjeföretag i Hishult som tillverkar träbaserade lister och komponenter för bygg- köks- och möbelindustrin.
Företaget har idag 17 anställda.
www.abeco.se


Din profil
Vi söker dig som har tidigare erfarenhet som arbetsledare eller likvärdig erfarenhet av att leda personal inom produktion.
Du kommer att vara med och skapa nya rutiner och arbeta för att motivera och driva våra medarbetare mot samma mål.
För att trivas i rollen som arbetsledare är det viktigt att du känner engagemang för företaget och medarbetarna.
Vi arbetar löpande med inkomna ansökningar och kontaktar endast de som motsvarar ansökningskraven.

Välkommen med din ansökan idag!

Om Ikett Personalpartner AB
Ikett Personalpartner AB är ett auktoriserat bemanningsföretag som arbetar med bemanning och rekrytering av kvalificerad kollektivpersonal och tjänstemän. Främst inom yrkesområdena industri, el, bygg och administration.

Ikett är medlem i Almega Kompetensföretagen och har kollektivavtal med LO, Unionen och Akademikerförbunden. Ikett är certifierat enligt ISO 9001.

Målet med vårt arbete är nöjda kunder och skickliga medarbetare som trivs. Detta vill vi uppnå genom kvalitet, kompetens och effektivitet.

För mer information och nyheter, följ oss gärna på:
Facebook: www.facebook.com/ikettpersonalpartner
LinkedIn: www.linkedin.com/company/ikett-personalpartner-ab-as","Arbetsledare, maskintillv.-verkstadsprodukter"
"Vill du ha ett jobb med stor variation, härliga kollegor och hög grad av frihet?
Välkommen att söka jobb på vår fina och trivsamma mottagning i Göteborg.
Vi arbetar främst med psykologisk behandling. Vi har behov för en psykolog med kompetens inom flera behandlingsmetoder. Dina arbetsuppgifter kommer att innebära att göra självständiga bedömningar, lägga upp behandlingsplaner och genomföra dessa. Vi erbjuder vidareutbildning, handledning samt stöttning i ditt dagliga arbete.


Kvalifikationskrav:
Du är Legitimerad Psykolog eller Psykologspecialist.
Har tidigare erfarenhet från kliniskt arbete inom primärvård, psykiatri eller företagshälsovård.
Du arbetar evidensbaserat och är trygg i ditt bemötande.



Meriterande är även utbildning och erfarenhet inom kliniskt arbete med ACT, KBT, CFT, MBT, ISTDP, EMDR, arbete med barn och unga samt parterapi. Utredningsarbete är även det meriterande.


Tillträde sker så snart som möjligt eller enligt överenskommelse. Vi har möjlighet att erbjuda en heltidstjänst på 100% alternativt deltidstjänst på 20-80%.
Intervjuer för tjänsten sker löpande. Vi ser fram emot din ansökan!",Psykolog
"Verksamhetschef till OneLab!

Brinner du för att preventiv hälsa ur ett större perspektiv? Har du tidigare jobbat inom digital hälsovård? Vill du göra skillnad för enskilda individer? Hos oss på OneLab får du chansen att följa med på vår otroligt spännande tillväxtresa, där du i rollen som verksamhetschef är en nyckelspelare för vår utveckling!

Nu söker vi på OneLab en ny verksamhetschef! Vi söker dig som är effektiv, framåtsträvande och har goda meriter i ledarrollen. Du kommer använda dina erfarenheter och kunskaper till att tillsammans med ett taggat team driva utvecklingen framåt. Låter det lockande? Tveka inte på att skicka in din ansökan!

OM TJÄNSTEN

Som verksamhetschef på OneLab ansvarar du för den medicinska verksamheten, där du leder ett team med cirka 12 sjuksköterskor och 2 administratörer. Du driver mål kopplat till medicinsk kvalitet, effektivitet samt patient- och medarbetarnöjdhet hos våra kunder. Som verksamhetschef rapporterar du direkt till COO.

Tillsammans med ditt team jobbar du dagligen för OneLabs vision: Hållbar hälsa för alla medarbetare!

VI ERBJUDER DIG

- Att få leda ett tight och drivet team i utvecklingen framåt.

- Att vara delaktig i en framtidsresa där du är med och gör skillnad för Sveriges företagshälsovård och hjälper medarbetare till en hållbar hälsa!

- Att vara med i en spännande tillväxtfas där du leder ett sammanhållet och drivet team.



ARBETSUPPGIFTER/ANSVARSOMRÅDEN

- Du är ytterst medicinskt ansvarig.

- Övergripande ansvar för teamets produktivitet, resultat och måluppfyllnad. Du är med och säkerställer kvalitet och utveckling kopplat till OneLabs medicinska produkter.

- Personalansvar för teamet, vilket bland annat inkluderar utveckling och fortbildning av medarbetare, medarbetarsamtal, tidrapporteringar och lönesättning.

- Svara på interna ärenden och frågor som dyker upp kring hälsa.

- Som verksamhetschef hanterar du även patientärenden och avvikelser.



VI SÖKER DIG SOM HAR

- Legitimation som sjuksköterska eller annan medicinsk utbildning lämplig för rollen.

- Arbetslivserfarenhet från digital hälsovård, där du samlat på dig kunskaper om att driva medicinskt kvalitetsarbete produktivt.

- Arbetslivserfarenhet som personalansvarig chef och visat framgång i ledarrollen.

- God IT-vana.

- Körkort B.

- Goda kunskaper i svenska och engelska.

- Arbete i snabbväxande bolag (meriterande).

- Erfarenhet av sälj och/eller service (meriterande).



SOM PERSON ÄR DU

- Grym på att bygga struktur, delegera och följa upp både ditt egna och teamets arbete.

- Driven och flexibel, vilket är egenskaper som du använder till att tänka nytt och ständigt ser till hur vi kan bli bättre och utvecklas.

- I ditt ledarskap är du tydlig, kommunikativ, relationsbyggande och effektiv. Du motiverar dina medarbetare till att på bästa sätt jobba mot uppsatta mål och får med dig teamet i förändringar.



OM OSS

OneLabs vision: Hållbar hälsa för alla medarbetare!

Vi vet att hälsa och lönsamhet hör ihop och därför skapade vi en modern digi-fysisk företagshälsovård. Genom att samla in, analysera och på ett pedagogiskt sätt visualisera komplex data om hälsa skapar vi därmed en värdefull grund för ett proaktivt och effektivt hälsoarbete hos våra kunder. Vår ambition är att förbättra medarbetarnas hälsa och samtidigt hjälpa våra kunder att öka sin lönsamhet. Vi gör detta genom att erbjuda smarta digifysiska hälsoundersökningar som identifierar ohälsa och i kombination med analys av hälsodata samt uppföljningar av OneLabs läkare och sjuksköterskor hjälper vi våra kunder att sätta in rätt vård i rätt tid.

OneLab består av ett härligt team som värdesätter glädje i vardagen och känner stolthet över sina produkter och möjligheten att göra gott i kombination med att skapa tillväxt. Team OneLab arbetar mot tydliga mål och milstolpar i en platt organisation där nyfikenhet och högt i tak uppmuntras. OneLab grundades 2014 och är idag ett av de ledande företagen inom preventiv företagshälsovård. OneLab finns i Sverige och i andra europeiska länder. Idag består Team OneLab av ca 45 medarbetare.

ÖVRIG INFORMATION

Start: Enligt överenskommelse

Plats: Centralt i Stockholm

Omfattning: Heltid

Ansökan: Skicka in CV och personligt brev

Ersättning: Lön enligt överenskommelse","Verksamhetschef, hälso- och sjukvård"
"TopWork arbetar med bemanning och rekrytering. Vi vet vad arbetsgivaren vill ha och vad som krävs för att hitta rätt medarbetare. Våra kunder finns inom både privat och offentlig sektor. Vi är din trygga och personliga partner oavsett om du söker nya medarbetare eller nya utmaningar. TopWork – det lila extra!

...till kund utanför Växjö.

 Intresserad av fordon? Trivs du att arbeta i högt tempo med bra kvalité? Är du ung och utvecklingsbar? Då är du den vi söker. Vi söker en montör för påbyggnad av skåp, lyft och flakbyggnationer på tunga ordon. För att trivas i rollen som montör bör du vara självgående, tålmodig och tycka om att jobba med dina händer som främsta verktyg. Du lägger stor vikt vid kvalité i ditt arbete och kan arbeta utifrån givna instruktioner och ritning. Erfarenhet av 12V el och tidigare byggt skåp, monterat lyftar eller flak på fordon är meriterande. Vi lägger stor vikt vid personlig lämplighet.

Intervjuer sker löpande och tjänsterna kan komma tillsättas innan sista ansökningsdatum.


Krav:

Körkort:
* B (Personbil)

Tillgång till:
* Personbil",Fordonsmontör
"TopWork är ett auktoriserat företag som arbetar med bemanning och rekrytering. Våra kunder finns inom branscher som industri, lager, logistik, bygg och administration. Vi är din trygga, professionella partner oavsett om du söker nya medarbetare eller nya utmaningar. TopWork - vi hittar rätt medarbetare till rätt arbetsgivare och arbetsplats.

...till kund i Tingsryd.

Som truckförare hos vår kund ska du ha både fart och förstånd. Du kommer som truckförare att arbeta med att fylla på produktionen med material samt skräphantering. Arbetet kräver att du har truckkort B1, samt erfarenhet. För att passa in hos vår kund tror vi att du:

- Är ansvarstagande
- Trivs med att jobba med kroppen
- Jobbar i bra tempo
- Är säkerhetsmedveten
- Behärskar svenska i både tal och skrift.


Arbetet är förlagt på rullande treskift.

Tjänsten inleds med en anställning hos TopWork med ett mål om att kandidaten senare ska övergå till en anställning hos kund. Som konsult hos TopWork får du en konsultchef som stöttar dig i ditt uppdrag hos kund. Vi ger dig råd och rekommendationer om hur du kan utvecklas i ditt arbete.


Krav:

Körkort:
* B (Personbil)

Tillgång till:
* Personbil",Truckförare
"Vi erbjuder en plats i vårt härliga säljteam med hög puls och en grym gruppdynamik. Vi stöttar och peppar varandra genom framgång - en för alla, alla för en! Alltid!

Hos oss kan du känna dig trygg! Vi ger dig en gedigen säljutbildning inom bank och finans.

Vi värdesätter våra medarbetare högt! Vi jobbar ständigt med personlig utveckling för att våra medarbetare ska få det bästa verktyget inom försäljning.

Om dig

 Du är en person som har en positiv inställning

 Du växer i rollen ju mer ansvar du får

 Du är social och tycker om människor

 Du har ett driv och vill ständigt nå nya höjder

 Du är orädd och tycker om att bidra med nya idéer och tankar för att bolaget ska växa!

 Du är en tävlingsinriktad person

Det vi framför allt söker, är dig som har viljan att utvecklas och ett driv. Du bidrar med din sociala kompetens och positivitet.

Vi har många års erfarenhet inom låneförmedling och kommer att ge dig alla verktyg för att lyckas i din roll hos oss. Vi har en tydlig utbildningsplan för att vägleda dig hela vägen in i mål!

Om KOLL

KOLL är ett ungt företag som utmanar inom lånemarknaden. Vi förmedlar lån mellan banker och privatpersoner (låneförmedling). Vi startade igång vår verksamhet 2014 och har växt otroligt mycket sedan dess. Vi älskar växtvärk och ska därför öka både antalet anställda och affärer vi gör. Läs mer om tjänsten nedan.



Om rollen som Lånemäklare

Som lånemäklare hos oss på KOLL förmedlar du lån och försäkringar mellan banker och privatpersoner. Du kontaktar samtliga kunder över telefon och har hand om hela säljprocessen från start till mål. Utöver att prata med kunder kommer du ha en dialog med de banker och långivare som vi samarbetar med.



Utveckling

Vi tror starkt på utveckling och att alltid bli en bättre version av sig själv - det gäller både för oss som företag och dig som medarbetare.

Vi jobbar med ständiga förbättringar och det är framför allt genom olika typer av utbildningar samt aktiv coachning. Det är också viktigt för oss att lära av varandra. Du kommer under din första tid att ledsagas av en Senior Lånemäklare.

Vi har en tydlig utvecklingsväg för dig som vill ta ytterligare nästa nivå i tjänsten. När du blivit senior lånemäklare hos oss öppnas ännu fler vägar till försäljning.

Det är önskvärt om du arbetat med försäljning och försäkringsförmedling tidigare men inget krav.

Kul på Jobbet

Vi vet att vi trivs på jobbet och det underlättar för att bli en duktig säljare hos oss!

Vi värdesätter vår gemenskap! Vi erbjuder gemensamma aktiviteter både på och utanför kontoret för att sammansvetsa teamkänslan.

Övrigt

Förutom härliga kollegor, så erbjuder vi branschens högsta provision och utbildning inom bank och finans. Allt för att du ska trivas på arbetet och i din roll som lånemäklare!

Vi arbetar måndag - torsdag 09:00 - 17:00 och fredagar 09:00 - 16:00. Vi sitter i trevliga lokaler mitt i Solna Centrum (gallerian).

Du som söker måste vara minst 18 år gammal och kunna prata svenska obehindrat. Kan du fler språk är det meriterande.

Känner du dig manad att anta utmaningen? Tveka då inte att skicka in din ansökan redan idag!",Telefonförsäljare
"Om Praktikertjänst AB
Från Karesuando i norr till Ystad i söder, och med verksamheter i fler än 200 kommuner, är Praktikertjänst hela Sveriges välfärd. En av fem vårdpatienter går till någon av våra mottagningar – och en av tre tandvårdspatienter väljer oss.

Vår affärsidé är att skapa förutsättningar för att vi som arbetar inom vården ska kunna göra ett så bra jobb som möjligt – och skapa högsta värde för patienten. Det är vi som utför vården som gemensamt äger Praktikertjänst.

Vår unika affärsmodell har funnits i 60 år, och innebär att företagets 1 300 aktieägare själva arbetar i verksamheterna som läkare, tandläkare, tandtekniker, tandhygienister, fysioterapeuter, dietister, psykologer, psykoanalytiker/terapeuter, sjuksköterskor, barnmorskor och logopeder. Det gör oss till Sveriges största företag inom privat tandvård och hälso- och sjukvård.

Praktikertjänst omsätter cirka 8,5 miljarder kronor och har drygt 6 700 medarbetare.

Om Berzelii Tandhälsovård
Centralt belägen tandläkarmottagning söker en tandsköterska på deltid med möjlighet till utökad arbetstid. Mottagningen består idag av två tandläkare, en tandhygienist och  två tandsköterskor. All utrustning är modern och lokalen är välplanerad för tandvård med 4 behandlingsrum och steril.

Arbetsuppgifter
För tandsköterska vanligt förekommande arbetsuppgifter så som assistera vid behandling, sterilarbete, viss administrativa uppgifter.

Övrig information
Kliniken ingår i ett nära samarbete med annan centralt belägen mottagning. Tjänsten kan eventuellt innebära arbetstid på båda mottagningarna beroende på tjänstgöringsgraden.

Kvalifikationer
Tandsköterskeutbildning gärna med några års erfarenhet. Meriterande är vana av att arbeta delegerat, scanna digitala avtryck och ta röntgen. Naturligtvis har du it-vana då mottagningen är helt digitaliserad. Flytande svenska i tal och skrift samt goda kunskaper i engelska. Ytterligare ett språk kan vara meriterande. Vi siktar på ett långsiktigt samarbete så sökande med tandläkarexamen är inte önskvärt.

Personliga egenskaper
Du är noggrann, flexibel och ambitiös med sinne för kvalité och service. Att du kan samarbete i team med tandläkare, hygienist och tandsköterskor är en förutsättning.",Tandsköterska
"Om Tjänsten
Vi förstärker vårt team i Göteborg och söker dig som har ett genuint intresse för att bygga relationer och vill växa tillsammans med oss. Det här är en utmärkt möjlighet för dig som vill anta nya utmaningar hos ett företag på frammarsch.

I rollen som Konsultchef kan du förvänta dig ett roligt och varierande arbete. Primärt så ansvarar du för våra rekryteringsprocesser och för att de konsulter som du anställer matchas mot våra inkommande uppdrag. Då vi arbetar tätt tillsammans med våra uppdragsgivare innebär det att du kommer ha en nära dialog med kund för att tillgodose deras behov. Likaså agerar du stöd och kontaktperson åt dina konsulter, så att de trivs bra och presterar väl hos våra kunder.

Du kan förvänta dig att ingen dag är den andra lik. Rekryteringsträffar kommer varvas med kundbesök, administrativa uppgifter såsom utbokningar och tidsrapportering samt intervjuer. I perioder kommer det vara ett högt tempo, vilket ställer krav på att du är bra på att organisera dig och planera din tid. Vi är måna om att se dig utvecklas inom din roll och växa tillsammans med oss på Insitepart och erbjuder dig stora möjligheter att sätta din prägel på arbetet.

Om dig
Vi söker efter dig som är en riktig lagspelare och är duktig på att skapa och vårda relationer till våra kunder och konsulter. Du har en ""Nu gör vi det"" mentalitet och är en flexibel och kommunikativ person som har lätt för att strukturera upp ditt arbete.

Det är meriterande om du har tidigare erfarenhet av arbete som Konsultchef. Likväl kan du ha ett par års erfarenhet av en roll inom lager och logistik eller annan bransch där du har innehaft personalansvar.

- Krav på minst gymnasieexamen
- Du har körkort och tillgång till bil
- Mycket goda kunskaper inom Microsoft Office-paketet
- Meriterande med kunskap inom verktyget Teamtailor, Intelliplan eller liknande system


Det här är Insitepart
Insitepart är en modern och flexibel driftpartner med en tydlig specialisering och fokus på att leverera marknadens mest effektiva driftlösningar inom retail och e-handel. Våra uppdragsgivare är både varuägare och logistikföretag. Vi är vana att arbeta med välkända varumärken som ställer höga krav på vår leverans.

Partnerskapet med våra kunder innebär att vi tillsammans arbetar för att skapa mätbara förbättringar. Samarbetet präglas av högt ställda krav och en ömsesidig hängivenheten att nå uppsatta mål.

Vår specialisering och vårt tydliga fokus på att leverera marknadens mest effektiva driftlösningar och stödtjänster inom logistik har på kort tid gett oss förtroendet att samarbeta med ett stort antal kunder i en mängd olika branscher.

Låter detta som din nästa utmaning?
På Insitepart är alla välkomna att söka jobb oavsett ålder, kön, erfarenhet eller etnisk bakgrund. Vi lägger stor vikt vid personlig lämplighet när vi rekryterar, för vi vet att rätt person på rätt plats skapar ett stort mervärde för både kund och dig som person.

Tjänsten är tillsvidare med en inledande provanställning på sex månader. Arbetspsykologiska tester tillämpas i rekryteringsprocessen. Start enligt överenskommelse.

Skicka gärna in din ansökan redan idag! Vi arbetar med löpande urval och tjänsterna kommer att tillsättas när vi funnit rätt kandidat. ",Personalchef/HR-chef
"TopWork är ett auktoriserat företag som arbetar med bemanning och rekrytering. Våra kunder finns inom branscher som industri, lager, logistik, bygg och administration. Vi är din trygga, professionella partner oavsett om du söker nya medarbetare eller nya utmaningar. TopWork - vi hittar rätt medarbetare till rätt arbetsgivare och arbetsplats.

…till kund i Alvesta.

Arbetsuppgifterna kan vara både robotsvets och manuell svetsning. För att klara arbetet krävs att du snabbt blir självgående och gärna har ett par års arbetslivserfarenhet inom svetsning.

Vi söker dig som är positiv, strukturerad och noggrann. Vi ser också att du är händig, snabb, och kvalitetsmedveten i ditt arbetssätt. Du ska ha lätt för att samarbeta med andra samtidigt som du är självgående och gillar att arbeta i ett högt tempo. Meriterande om du har tidigare erfarenhet av traditionellt verkstadsarbete som t.ex. borrning och slipning. Du behärskar ritningsläsning och mätning. Du har goda kunskaper i det svenska språket.


Tjänsten inleds med en anställning hos TopWork med ett mål om att kandidaten senare ska övergå till en anställning hos kund. Som konsult hos TopWork får du en konsultchef som stöttar dig i ditt uppdrag hos kund. Vi ger dig råd och rekommendationer om hur du kan utvecklas i ditt arbete.


Krav:

Körkort:
* B (Personbil)","Svetsare, manuell"
"TopWork är ett auktoriserat företag som arbetar med bemanning och rekrytering. Våra kunder finns inom branscher som industri, lager, logistik, bygg och administration. Vi är din trygga, professionella partner oavsett om du söker nya medarbetare eller nya utmaningar. TopWork - vi hittar rätt medarbetare till rätt arbetsgivare och arbetsplats.

…till kund utanför Växjö.

Arbetsuppgifterna kan vara både robotsvets och manuell svetsning. För att klara arbetet krävs att du snabbt blir självgående och gärna har ett par års arbetslivserfarenhet inom svetsning.

Vi söker dig som är positiv, strukturerad och noggrann. Vi ser också att du är händig, snabb, och kvalitetsmedveten i ditt arbetssätt. Du ska ha lätt för att samarbeta med andra samtidigt som du är självgående och gillar att arbeta i ett högt tempo. Meriterande om du har tidigare erfarenhet av traditionellt verkstadsarbete som t.ex. borrning och slipning. Du behärskar ritningsläsning och mätning. Du har goda kunskaper i det svenska språket.


Tjänsten inleds med en anställning hos TopWork med ett mål om att kandidaten senare ska övergå till en anställning hos kund. Som konsult hos TopWork får du en konsultchef som stöttar dig i ditt uppdrag hos kund. Vi ger dig råd och rekommendationer om hur du kan utvecklas i ditt arbete.


Krav:

Körkort:
* B (Personbil)","Svetsare, manuell"
"TopWork är ett auktoriserat företag som arbetar med bemanning och rekrytering. Våra kunder finns inom branscher som industri, lager, logistik, bygg och administration. Vi är din trygga, professionella partner oavsett om du söker nya medarbetare eller nya utmaningar. TopWork - vi hittar rätt medarbetare till rätt arbetsgivare och arbetsplats.

...till vår kund norr om Mullsjö.

Har du ett genuint tekniskt intresse och trivs med att arbeta i en bred och omväxlande roll? Vi söker underhållsmekaniker med känsla för noggrannhet och säkerhet. Som underhållsmekaniker arbetar du med maskinreparationer, planering och även viss enklare ombyggnation av maskiner och tillfälliga lösningar. Arbete i huvudsak dagtid men visst skiftarbete och jour kan förekomma.

För att passa i rollen som underhållsmekaniker tror vi att du har en lämplig utbildning samt tidigare liknande erfarenhet inom tillverkningsindustrin. Du har ett genuint intresse för mekanik och teknik och en god känsla för service samt är ansvarstagande. Erfarenhet av felsökning i PLC/PC-baserade styrsystem eller Ethernet-konfigurationer är meriterande. Du behärskar svenska i tal och skrift. Stor vikt kommer att läggas vid personliga egenskaper.



Tjänsten inleds med en anställning hos TopWork med ett mål om att kandidaten senare ska övergå till en anställning hos kund. Som konsult hos TopWork får du en konsultchef som stöttar dig i ditt uppdrag hos kund. Vi ger dig råd och rekommendationer om hur du kan utvecklas i ditt arbete.


Krav:

Körkort:
* B (Personbil)",Underhållsmekaniker
"TopWork är ett auktoriserat företag som arbetar med bemanning och rekrytering. Våra kunder finns inom branscher som industri, lager, logistik, bygg och administration. Vi är din trygga, professionella partner oavsett om du söker nya medarbetare eller nya utmaningar. TopWork - vi hittar rätt medarbetare till rätt arbetsgivare och arbetsplats.

...till kund i Värnamo med omnejd.

Vi söker nu dig som vill utvecklas i din roll som CNC-Operatör. Som CNC-Operatör hos kundföretaget innebär det bearbetning i en längdsvarv. Du kommer arbeta som operatör och självständigt ställa maskin och starta upp jobb, utföra justering av program samt tillhörande efterkontroll och mätningar. Som operatör kan du få jobba i skift och du kommer bli en viktig del i gruppen. Ett plus är om du innehar truckkort A och B. Här ställs en del krav på eget ansvar, förmåga att prioritera samt ha ett öga för viss struktur.

Tjänsten inleds med en anställning hos TopWork med ett mål om att kandidaten senare ska övergå till en anställning hos kund. Som konsult hos TopWork får du en konsultchef som stöttar dig i ditt uppdrag hos kund. Vi ger dig råd och rekommendationer om hur du kan utvecklas i ditt arbete.


Krav:

Körkort:
* B (Personbil)",CNC-operatör/FMS-operatör
"TopWork är ett auktoriserat företag som arbetar med bemanning och rekrytering. Våra kunder finns inom branscher som industri, lager, logistik, bygg och administration. Vi är din trygga, professionella partner oavsett om du söker nya medarbetare eller nya utmaningar. TopWork - vi hittar rätt medarbetare till rätt arbetsgivare och arbetsplats.

...till vår kund utanför Falköping.

Har du ett genuint tekniskt intresse och trivs med att arbeta i en bred och omväxlande roll? Vi söker underhållsmekaniker med känsla för noggrannhet och säkerhet. Som underhållsmekaniker arbetar du med maskinreparationer, planering och även viss enklare ombyggnation av maskiner och tillfälliga lösningar. Arbete i huvudsak dagtid men visst skiftarbete och jour kan förekomma.

För att passa i rollen som underhållsmekaniker tror vi att du har en lämplig utbildning samt tidigare liknande erfarenhet inom tillverkningsindustrin. Du har ett genuint intresse för mekanik och teknik och en god känsla för service samt är ansvarstagande. Erfarenhet av felsökning i PLC/PC-baserade styrsystem eller Ethernet-konfigurationer är meriterande. Du behärskar svenska i tal och skrift. Stor vikt kommer att läggas vid personliga egenskaper.



Tjänsten inleds med en anställning hos TopWork med ett mål om att kandidaten senare ska övergå till en anställning hos kund. Som konsult hos TopWork får du en konsultchef som stöttar dig i ditt uppdrag hos kund. Vi ger dig råd och rekommendationer om hur du kan utvecklas i ditt arbete.


Krav:

Körkort:
* B (Personbil)",Underhållsmekaniker
"TopWork är ett auktoriserat företag som arbetar med bemanning och rekrytering. Våra kunder finns inom branscher som industri, lager, logistik, bygg och administration. Vi är din trygga, professionella partner oavsett om du söker nya medarbetare eller nya utmaningar. TopWork - vi hittar rätt medarbetare till rätt arbetsgivare och arbetsplats.

...till kund utanför Växjö.

Du som söker har eftergymnasial utbildning inom CNC-teknik och har hunnit samla på dig några års erfarenhet av programmering. Vi ser gärna att du är van vid att ta ansvar för ”din” maskin, vilket innefattar läsa ritningar, ställa, felsöka och mäta. Du har goda kunskaper av att programmera samt en god datorvana.

Som person tror vi att du
- Gillar att utvecklas i din roll som CNC-operatör
- Talar och skriver svenska obehindrat
- Arbetar bra både självständigt och i grupp.

Tjänsten inleds med en anställning hos TopWork med ett mål om att kandidaten senare ska övergå till en anställning hos kund. Som konsult hos TopWork får du en konsultchef som stöttar dig i ditt uppdrag hos kund. Vi ger dig råd och rekommendationer om hur du kan utvecklas i ditt arbete.

Varmt välkommen med din ansökan redan idag!",CNC-operatör/FMS-operatör
"TopWork är ett auktoriserat företag som arbetar med bemanning och rekrytering. Våra kunder finns inom branscher som industri, lager, logistik, bygg och administration. Vi är din trygga, professionella partner oavsett om du söker nya medarbetare eller nya utmaningar. TopWork - vi hittar rätt medarbetare till rätt arbetsgivare och arbetsplats.

... till kund väster om Falköping.

I din roll som betongarbetare kommer du utifrån ritning att arbeta med formsättning, armering och gjutning av prefab-betongväggar. För att komma ifråga söker vi dig som har god fysik, är noggrann och har en positiv inställning. Tidigare erfarenhet från arbete med betong är meriterande, du får gärna ha arbetat med formsättning. Vi välkomnar sökande från olika branscher och tror att du som är händig och har ett sinne för detaljer kan vara rätt person för oss. Du ska behärska svenska i tal och skrift.

Tjänsteninleds med en anställning hos TopWork med ett mål om att senare kandidaten ska övergå till en
anställning hos kund. Som konsult hos TopWork får du en konsultchef som stöttar dig i ditt uppdrag hos kund. Vi ger dig råd och rekommendationer om hur du kan utvecklas i ditt arbete.


Krav:

Körkort:
* B (Personbil)",Betongarbetare
"TopWork är ett auktoriserat företag som arbetar med bemanning och rekrytering. Våra kunder finns inom branscher som industri, lager, logistik, bygg och administration. Vi är din trygga, professionella partner oavsett om du söker nya medarbetare eller nya utmaningar. TopWork - vi hittar rätt medarbetare till rätt arbetsgivare och arbetsplats.

... till kund öster om Trollhättan.

I din roll som betongarbetare kommer du utifrån ritning att arbeta med formsättning, armering och gjutning av prefab-betongväggar. För att komma ifråga söker vi dig som har god fysik, är noggrann och har en positiv inställning. Tidigare erfarenhet från arbete med betong är meriterande, du får gärna ha arbetat med formsättning. Vi välkomnar sökande från olika branscher och tror att du som är händig och har ett sinne för detaljer kan vara rätt person för oss. Du ska behärska svenska i tal och skrift.

Tjänsten inleds med en anställning hos TopWork med ett mål om att senare kandidaten ska övergå till en
anställning hos kund. Som konsult hos TopWork får du en konsultchef som stöttar dig i ditt uppdrag hos kund. Vi ger dig råd och rekommendationer om hur du kan utvecklas i ditt arbete.


Krav:

Körkort:
* B (Personbil)",Betongarbetare
"TopWork är ett auktoriserat företag som arbetar med bemanning och rekrytering. Våra kunder finns inom branscher som industri, lager, logistik, bygg och administration. Vi är din trygga, professionella partner oavsett om du söker nya medarbetare eller nya utmaningar. TopWork - vi hittar rätt medarbetare till rätt arbetsgivare och arbetsplats.

... till kund i Hultsfred.

I din roll som betongarbetare kommer du utifrån ritning att arbeta med formsättning, armering och gjutning av prefab-betongväggar. För att komma ifråga söker vi dig som har god fysik, är noggrann och har en positiv inställning. Tidigare erfarenhet från arbete med betong är meriterande, du får gärna ha arbetat med formsättning. Vi välkomnar sökande från olika branscher och tror att du som är händig och har ett sinne för detaljer kan vara rätt person för oss. Du ska behärska svenska i tal och skrift.

Tjänsten inleds med en anställning hos TopWork med ett mål om att senare kandidaten ska övergå till en
anställning hos kund. Som konsult hos TopWork får du en konsultchef som stöttar dig i ditt uppdrag hos kund. Vi ger dig råd och rekommendationer om hur du kan utvecklas i ditt arbete.


Krav:

Körkort:
* B (Personbil)",Betongarbetare
